Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-07-14,748.86,749.04,739.02,741.2,741.2,Amazon,2016,7
2016-07-15,746.55,746.55,734.05,735.44,735.44,Amazon,2016,7
2016-07-18,735.49,741.6,728.72,736.07,736.07,Amazon,2016,7
2016-07-19,732.5,743.33,732.31,739.95,739.95,Amazon,2016,7
2016-07-20,744.0,746.25,740.7,745.72,745.72,Amazon,2016,7
2016-07-21,747.5,749.36,742.79,744.43,744.43,Amazon,2016,7
2016-07-22,747.79,751.28,743.53,744.86,744.86,Amazon,2016,7
2016-07-25,746.55,748.5,735.35,739.61,739.61,Amazon,2016,7
2016-07-26,742.71,743.13,732.75,735.59,735.59,Amazon,2016,7
2016-07-27,737.97,740.94,733.86,736.67,736.67,Amazon,2016,7
2016-07-28,745.98,753.36,739.7,752.61,752.61,Amazon,2016,7
2016-07-29,765.0,766.0,755.0,758.81,758.81,Amazon,2016,7
2016-08-01,759.87,770.5,757.06,767.74,767.74,Amazon,2016,8
2016-08-02,763.81,765.01,757.02,760.58,760.58,Amazon,2016,8
2016-08-03,757.06,758.89,752.25,754.64,754.64,Amazon,2016,8
2016-08-04,753.7,765.0,750.35,760.77,760.77,Amazon,2016,8
2016-08-05,764.81,768.47,763.09,765.98,765.98,Amazon,2016,8
2016-08-08,766.81,767.0,761.02,766.56,766.56,Amazon,2016,8
2016-08-09,767.39,772.6,766.9,768.31,768.31,Amazon,2016,8
2016-08-10,769.8,772.1,766.19,768.56,768.56,Amazon,2016,8
2016-08-11,769.94,773.75,769.12,771.24,771.24,Amazon,2016,8
2016-08-12,768.46,773.15,768.42,772.56,772.56,Amazon,2016,8
2016-08-15,771.9,772.04,767.71,768.49,768.49,Amazon,2016,8
2016-08-16,768.62,768.73,763.82,764.04,764.04,Amazon,2016,8
2016-08-17,764.41,765.22,759.2,764.63,764.63,Amazon,2016,8
2016-08-18,764.0,765.17,760.6,764.46,764.46,Amazon,2016,8
2016-08-19,761.9,762.49,756.89,757.31,757.31,Amazon,2016,8
2016-08-22,757.5,759.85,752.1,759.48,759.48,Amazon,2016,8
2016-08-23,763.31,764.7,761.0,762.45,762.45,Amazon,2016,8
2016-08-24,763.0,763.41,755.36,757.25,757.25,Amazon,2016,8
2016-08-25,756.0,760.56,754.74,759.22,759.22,Amazon,2016,8
2016-08-26,760.05,770.0,759.8,769.0,769.0,Amazon,2016,8
2016-08-29,768.72,774.98,768.6,771.29,771.29,Amazon,2016,8
2016-08-30,771.05,771.84,765.56,767.58,767.58,Amazon,2016,8
2016-08-31,766.6,769.64,764.0,769.16,769.16,Amazon,2016,8
2016-09-01,770.9,772.04,766.75,770.62,770.62,Amazon,2016,9
2016-09-02,774.11,776.0,771.7,772.44,772.44,Amazon,2016,9
2016-09-06,774.04,789.48,770.22,788.87,788.87,Amazon,2016,9
2016-09-07,789.53,790.79,784.33,784.48,784.48,Amazon,2016,9
2016-09-08,783.89,786.5,781.44,784.06,784.06,Amazon,2016,9
2016-09-09,779.36,781.0,760.11,760.14,760.14,Amazon,2016,9
