Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-05-23,95.87,97.19,95.67,96.43,90.68,Apple,2016,5
2016-05-24,97.22,98.09,96.84,97.9,92.06,Apple,2016,5
2016-05-25,98.67,99.74,98.11,99.62,93.68,Apple,2016,5
2016-05-26,99.68,100.73,98.64,100.41,94.42,Apple,2016,5
2016-05-27,99.44,100.47,99.24,100.35,94.37,Apple,2016,5
2016-05-31,99.6,100.4,98.82,99.86,93.91,Apple,2016,5
2016-06-01,99.02,99.54,98.33,98.46,92.59,Apple,2016,6
2016-06-02,97.6,97.84,96.63,97.72,91.89,Apple,2016,6
2016-06-03,97.79,98.27,97.45,97.92,92.08,Apple,2016,6
2016-06-06,97.99,101.89,97.55,98.63,92.75,Apple,2016,6
2016-06-07,99.25,99.87,98.96,99.03,93.13,Apple,2016,6
2016-06-08,99.02,99.56,98.68,98.94,93.04,Apple,2016,6
2016-06-09,98.5,99.99,98.46,99.65,93.71,Apple,2016,6
2016-06-10,98.53,99.35,98.48,98.83,92.94,Apple,2016,6
2016-06-13,98.69,99.12,97.1,97.34,91.54,Apple,2016,6
2016-06-14,97.32,98.48,96.75,97.46,91.65,Apple,2016,6
2016-06-15,97.82,98.41,97.03,97.14,91.35,Apple,2016,6
2016-06-16,96.45,97.75,96.07,97.55,91.73,Apple,2016,6
2016-06-17,96.62,96.65,95.3,95.33,89.65,Apple,2016,6
2016-06-20,96.0,96.57,95.03,95.1,89.43,Apple,2016,6
2016-06-21,94.94,96.35,94.68,95.91,90.19,Apple,2016,6
2016-06-22,96.25,96.89,95.35,95.55,89.85,Apple,2016,6
2016-06-23,95.94,96.29,95.25,96.1,90.37,Apple,2016,6
2016-06-24,92.91,94.66,92.65,93.4,87.83,Apple,2016,6
2016-06-27,93.0,93.05,91.5,92.04,86.55,Apple,2016,6
2016-06-28,92.9,93.66,92.14,93.59,88.01,Apple,2016,6
2016-06-29,93.97,94.55,93.63,94.4,88.77,Apple,2016,6
2016-06-30,94.44,95.77,94.3,95.6,89.9,Apple,2016,6
2016-07-01,95.49,96.46,95.33,95.89,90.17,Apple,2016,7
2016-07-05,95.39,95.4,94.46,94.99,89.33,Apple,2016,7
2016-07-06,94.6,95.66,94.37,95.53,89.83,Apple,2016,7
2016-07-07,95.7,96.5,95.62,95.94,90.22,Apple,2016,7
2016-07-08,96.49,96.89,96.05,96.68,90.92,Apple,2016,7
2016-07-11,96.75,97.65,96.73,96.98,91.2,Apple,2016,7
2016-07-12,97.17,97.7,97.12,97.42,91.61,Apple,2016,7
2016-07-13,97.41,97.67,96.84,96.87,91.1,Apple,2016,7
2016-07-14,97.39,98.99,97.32,98.79,92.9,Apple,2016,7
2016-07-15,98.92,99.3,98.5,98.78,92.89,Apple,2016,7
2016-07-18,98.7,100.13,98.6,99.83,93.88,Apple,2016,7
2016-07-19,99.56,100.0,99.34,99.87,93.92,Apple,2016,7
2016-07-20,100.0,100.46,99.74,99.96,94.0,Apple,2016,7
2016-07-21,99.83,101.0,99.13,99.43,93.5,Apple,2016,7
2016-07-22,99.26,99.3,98.31,98.66,92.78,Apple,2016,7
2016-07-25,98.25,98.84,96.92,97.34,91.54,Apple,2016,7
2016-07-26,96.82,97.97,96.42,96.67,90.91,Apple,2016,7
2016-07-27,104.26,104.35,102.75,102.95,96.81,Apple,2016,7
2016-07-28,102.83,104.45,102.82,104.34,98.12,Apple,2016,7
2016-07-29,104.19,104.55,103.68,104.21,98.0,Apple,2016,7
2016-08-01,104.41,106.15,104.41,106.05,99.73,Apple,2016,8
2016-08-02,106.05,106.07,104.0,104.48,98.25,Apple,2016,8
2016-08-03,104.81,105.84,104.77,105.79,99.48,Apple,2016,8
2016-08-04,105.58,106.0,105.28,105.87,100.09,Apple,2016,8
2016-08-05,106.27,107.65,106.18,107.48,101.62,Apple,2016,8
2016-08-08,107.52,108.37,107.16,108.37,102.46,Apple,2016,8
2016-08-09,108.23,108.94,108.01,108.81,102.87,Apple,2016,8
2016-08-10,108.71,108.9,107.76,108.0,102.11,Apple,2016,8
2016-08-11,108.52,108.93,107.85,107.93,102.04,Apple,2016,8
2016-08-12,107.78,108.44,107.78,108.18,102.28,Apple,2016,8
2016-08-15,108.14,109.54,108.08,109.48,103.51,Apple,2016,8
2016-08-16,109.63,110.23,109.21,109.38,103.41,Apple,2016,8
2016-08-17,109.1,109.37,108.34,109.22,103.26,Apple,2016,8
2016-08-18,109.23,109.6,109.02,109.08,103.13,Apple,2016,8
2016-08-19,108.77,109.69,108.36,109.36,103.39,Apple,2016,8
2016-08-22,108.86,109.1,107.85,108.51,102.59,Apple,2016,8
2016-08-23,108.59,109.32,108.53,108.85,102.91,Apple,2016,8
2016-08-24,108.56,108.75,107.68,108.03,102.14,Apple,2016,8
2016-08-25,107.39,107.88,106.68,107.57,101.7,Apple,2016,8
